5 , 16/04/2012 06:14:25:524 , AdminDAO , getRoles , privilege LIMIT_SET_UP
5 , 16/04/2012 06:14:25:526 , AdminDAO , getRoles , privilege APPLICATION_CLOSURE
5 , 16/04/2012 06:14:25:527 , AdminDAO , getRoles , privilege ADD_MODIFY_ROLES
5 , 16/04/2012 06:14:25:529 , AdminDAO , getRoles , privilege APPROPRIATE_PAYMENTS
5 , 16/04/2012 06:14:25:532 , AdminDAO , getRoles , privilege SEARCH_DOCUMENTS
5 , 16/04/2012 06:14:25:535 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
5 , 16/04/2012 06:14:25:536 , AdminDAO , getRoles , privilege ENTER_BUDGET_DETAILS
5 , 16/04/2012 06:14:25:541 , AdminDAO , getRoles , privilege CREATE_MLI_USER
5 , 16/04/2012 06:14:25:543 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK_DETAILS
5 , 16/04/2012 06:14:25:550 , AdminDAO , getRoles , privilege IF_CALCULATE_EXPOSUER
5 , 16/04/2012 06:14:25:551 , AdminDAO , getRoles , privilege APP_STATUS_WISE_REPORT
5 , 16/04/2012 06:14:25:553 , AdminDAO , getRoles , privilege REVIEW_AUDIT_DETAILS
5 , 16/04/2012 06:14:25:564 , AdminDAO , getRoles , privilege GENERATE_CGDAN
5 , 16/04/2012 06:14:25:565 , AdminDAO , getRoles , privilege REGISTER_MLI
5 , 16/04/2012 06:14:25:567 , AdminDAO , getRoles , privilege REGISTER_MCGF
5 , 16/04/2012 06:14:25:568 , AdminDAO , getRoles , privilege IF_UPDATE_MASTER_TABLES
5 , 16/04/2012 06:14:25:570 , AdminDAO , getRoles , privilege REACTIVATE_USER
5 , 16/04/2012 06:14:25:575 , AdminDAO , getRoles , privilege DEFINE_ORGANIZATION_STRUCTURE
5 , 16/04/2012 06:14:25:577 , AdminDAO , getRoles , privilege VIEW_PENDING_PAYMENTS
5 , 16/04/2012 06:14:25:578 , AdminDAO , getRoles , privilege APPROVE_DUPLICATE_APPLICATION
5 , 16/04/2012 06:14:25:580 , AdminDAO , getRoles , privilege INVESTMENT_FULFILLMENT
5 , 16/04/2012 06:14:25:583 , AdminDAO , getRoles , privilege GENERATE_EXCESS_VOUCHER
5 , 16/04/2012 06:14:25:585 , AdminDAO , getRoles , privilege SET_PARTICIPATING_BANK_LIMIT
5 , 16/04/2012 06:14:25:587 , AdminDAO , getRoles , privilege RECEIVE_SUCCESS_FAILURE_MESSAGE
