4 , 25/10/2012 05:35:24:777 , AdminDAO , getMessage , Entered
5 , 25/10/2012 05:35:24:796 , AdminDAO , getMessage , Error code and error 0 null
5 , 25/10/2012 05:35:24:799 , AdminDAO , getMessage , message is Demand for ASF 2012 for enhancement in Working Capital cases has been generated (Not demanded with consolidate demand of ASF 2012). The demand for ASF 2012 is for FY2012 and generated on pre-enhanced limit. Demand list may be viewed by following the path: Report & MIS -> ASF Summary Details -> Enter date from 10/09/2012 to 12/09/2012 - For unitwise details click on hyperlinked tag MLI ID ¿ check for Remarks ¿ASF 2012 DEMAND HAS GENERATED FOR ENHANCEMENT CASES¿. Respective RO/ZO/CO has to make payment directly to CGTMSE and no allocation is required to do in system.
4 , 25/10/2012 05:35:24:806 , AdminDAO , getMessage , Exited
5 , 25/10/2012 05:35:24:810 , LoginAction , login , message Demand for ASF 2012 for enhancement in Working Capital cases has been generated (Not demanded with consolidate demand of ASF 2012). The demand for ASF 2012 is for FY2012 and generated on pre-enhanced limit. Demand list may be viewed by following the path: Report & MIS -> ASF Summary Details -> Enter date from 10/09/2012 to 12/09/2012 - For unitwise details click on hyperlinked tag MLI ID ¿ check for Remarks ¿ASF 2012 DEMAND HAS GENERATED FOR ENHANCEMENT CASES¿. Respective RO/ZO/CO has to make payment directly to CGTMSE and no allocation is required to do in system.
5 , 25/10/2012 05:35:24:813 , LoginAction , login , bank id 0000
5 , 25/10/2012 05:35:24:816 , LoginAction , login , zone id 0000
5 , 25/10/2012 05:35:24:819 , LoginAction , login , branch id 0000
5 , 25/10/2012 05:35:24:821 , LoginAction , login , bank Name 
5 , 25/10/2012 05:35:24:825 , LoginAction , login , zone name ---
5 , 25/10/2012 05:35:24:827 , LoginAction , login , branch name ---
5 , 25/10/2012 05:35:24:830 , LoginAction , login , short name CGTSI
4 , 25/10/2012 05:35:24:833 , RegistrationDAO , getMemberDetails , Entered
5 , 25/10/2012 05:35:24:848 , RegistrationDAO , getMemberDetails , error code and error are 0 null
5 , 25/10/2012 05:35:24:859 , RegistrationDAO , getMemberDetails , bank id 0000
5 , 25/10/2012 05:35:24:861 , RegistrationDAO , getMemberDetails , zone id 0000
5 , 25/10/2012 05:35:24:862 , RegistrationDAO , getMemberDetails , branch id 0000
5 , 25/10/2012 05:35:24:863 , RegistrationDAO , getMemberDetails , address MSME Development Center, 7th Floor, Plot No. C - 11, G Block, BKC Bandra (E)
5 , 25/10/2012 05:35:24:865 , RegistrationDAO , getMemberDetails , bank Name CGTMSE
5 , 25/10/2012 05:35:24:866 , RegistrationDAO , getMemberDetails , MCGF N
5 , 25/10/2012 05:35:24:868 , RegistrationDAO , getMemberDetails , support MCGF null
5 , 25/10/2012 05:35:24:869 , RegistrationDAO , getMemberDetails , Dan Delivery [Ljava.lang.String;@1e7e7e8
4 , 25/10/2012 05:35:24:882 , RegistrationDAO , getMemberDetails , Exited
5 , 25/10/2012 05:35:24:885 , LoginAction , login , before setting...bank id...0000
5 , 25/10/2012 05:35:24:886 , LoginAction , login , Password is Valid
4 , 25/10/2012 05:35:24:888 , LoginAction , login , Exited
