4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , CGPAN = CG200303128TC
4 , 06/11/2008 15:54:49:450 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , CGPAN = CG200303128TC
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , setting CGPAN = CG200303128TC
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:54:49:450 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:497 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:497 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:54:49:497 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200303128TC as on Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:497 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:54:49:497 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:54:49:497 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:497 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:54:49:497 , RpDAO , getAmountOutstanding , CGPAN = CG200303128TC
4 , 06/11/2008 15:54:49:497 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:54:49:528 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:54:49:528 , RpDAO , getAmountOutstanding , Outstanding amount = 40000.0
4 , 06/11/2008 15:54:49:528 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:528 , RpDAO , calculateServiceFee , Amount Outstanding = 40000.0
4 , 06/11/2008 15:54:49:528 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:54:49:528 , RpDAO , calculateServiceFee , After getting approved amount:40000.0
4 , 06/11/2008 15:54:49:528 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:54:49:528 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:54:49:528 , RpDAO , getServiceRateForRSF , Entered
4 , 06/11/2008 15:54:49:528 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:54:49:528 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:54:49:528 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:528 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:54:49:544 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:54:49:544 , RpDAO , getGuarStartDate , application.getCgpan() :CG200303128TC
4 , 06/11/2008 15:54:49:544 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303128TC
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200201681TC
4 , 06/11/2008 15:54:49:544 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:544 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:544 , RpDAO , calculateServiceFee , CGPAN = CG200201681TC
4 , 06/11/2008 15:54:49:544 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , CGPAN = CG200201681TC
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , setting CGPAN = CG200201681TC
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:54:49:544 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
