5 , 10/05/2012 10:05:37:602 , RegistrationDAO , getMemberDetails , error code and error are 0 null
5 , 10/05/2012 10:05:37:612 , RegistrationDAO , getMemberDetails , bank id 0000
5 , 10/05/2012 10:05:37:617 , RegistrationDAO , getMemberDetails , zone id 0000
5 , 10/05/2012 10:05:37:620 , RegistrationDAO , getMemberDetails , branch id 0000
5 , 10/05/2012 10:05:37:624 , RegistrationDAO , getMemberDetails , address MSME Development Center, 7th Floor, Plot No. C - 11, G Block, BKC Bandra (E)
5 , 10/05/2012 10:05:37:627 , RegistrationDAO , getMemberDetails , bank Name CGTMSE
5 , 10/05/2012 10:05:37:629 , RegistrationDAO , getMemberDetails , MCGF N
5 , 10/05/2012 10:05:37:633 , RegistrationDAO , getMemberDetails , support MCGF null
5 , 10/05/2012 10:05:37:636 , RegistrationDAO , getMemberDetails , Dan Delivery [Ljava.lang.String;@1095c6c
4 , 10/05/2012 10:05:37:647 , RegistrationDAO , getMemberDetails , Exited
5 , 10/05/2012 10:05:37:648 , LoginAction , login , before setting...bank id...0000
5 , 10/05/2012 10:05:37:649 , LoginAction , login , Password is Valid
4 , 10/05/2012 10:05:37:650 , LoginAction , login , Exited
4 , 10/05/2012 10:05:38:980 , LoginAction , getMainMenu , Entered
4 , 10/05/2012 10:05:38:983 , LoginAction , setMainMenu , Entered
4 , 10/05/2012 10:05:38:986 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:05:38:987 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:05:38:988 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:05:38:990 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:39:019 , LoginAction , setMainMenu , Exited
4 , 10/05/2012 10:05:39:047 , LoginAction , getMainMenu , Exited
4 , 10/05/2012 10:05:41:030 , LoginAction , getMainMenu , Entered
4 , 10/05/2012 10:05:41:082 , LoginAction , setMainMenu , Entered
4 , 10/05/2012 10:05:41:083 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:05:41:085 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:05:41:086 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:05:41:087 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:41:088 , LoginAction , setMainMenu , Exited
4 , 10/05/2012 10:05:41:089 , LoginAction , getMainMenu , Exited
4 , 10/05/2012 10:05:42:237 , LoginAction , getSubMenu , Entered
4 , 10/05/2012 10:05:42:239 , LoginAction , setSubMenu , Entered
4 , 10/05/2012 10:05:42:254 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:05:42:257 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:05:42:258 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:05:42:260 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:42:264 , LoginAction , setSubMenu , Exited
4 , 10/05/2012 10:05:42:276 , LoginAction , getSubMenu , Exited
4 , 10/05/2012 10:05:45:458 , LoginAction , getMainMenu , Entered
4 , 10/05/2012 10:05:45:461 , LoginAction , setMainMenu , Entered
4 , 10/05/2012 10:05:45:464 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:05:45:466 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:05:45:467 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:05:45:505 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:45:506 , LoginAction , setMainMenu , Exited
4 , 10/05/2012 10:05:45:507 , LoginAction , getMainMenu , Exited
4 , 10/05/2012 10:05:47:583 , LoginAction , getSubMenu , Entered
4 , 10/05/2012 10:05:47:585 , LoginAction , setSubMenu , Entered
4 , 10/05/2012 10:05:47:588 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:05:47:590 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:05:47:593 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:05:47:596 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:47:597 , LoginAction , setSubMenu , Exited
4 , 10/05/2012 10:05:47:599 , LoginAction , getSubMenu , Exited
5 , 10/05/2012 10:05:51:181 , RPActionForm , validate , size of cgpans selected0
5 , 10/05/2012 10:05:51:183 , RPActionForm , validate , param method value is getPaymentsMadeForASF
4 , 10/05/2012 10:06:34:381 , LoginAction , getMainMenu , Entered
4 , 10/05/2012 10:06:34:382 , LoginAction , setMainMenu , Entered
4 , 10/05/2012 10:06:34:384 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:06:34:386 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:06:34:387 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:06:34:400 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:06:34:432 , LoginAction , setMainMenu , Exited
4 , 10/05/2012 10:06:34:434 , LoginAction , getMainMenu , Exited
4 , 10/05/2012 10:06:36:893 , LoginAction , getMainMenu , Entered
4 , 10/05/2012 10:06:36:905 , LoginAction , setMainMenu , Entered
4 , 10/05/2012 10:06:36:906 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:06:36:908 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:06:36:909 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:06:36:911 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:06:36:915 , LoginAction , setMainMenu , Exited
4 , 10/05/2012 10:06:36:916 , LoginAction , getMainMenu , Exited
4 , 10/05/2012 10:06:42:272 , LoginAction , getSubMenu , Entered
4 , 10/05/2012 10:06:42:276 , LoginAction , setSubMenu , Entered
4 , 10/05/2012 10:06:42:381 , BaseAction , getUserInformation , Entered
5 , 10/05/2012 10:06:42:384 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 10/05/2012 10:06:42:388 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@fade06
4 , 10/05/2012 10:06:42:391 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:06:42:452 , LoginAction , setSubMenu , Exited
4 , 10/05/2012 10:06:42:453 , LoginAction , getSubMenu , Exited
4 , 10/05/2012 10:20:33:462 , LogoutAction , logout , Entered
4 , 10/05/2012 10:20:33:467 , Registration , updateLogoutInformation , Entered
4 , 10/05/2012 10:20:33:564 , Registration , updateLogoutInformation , Exited
4 , 10/05/2012 10:20:33:568 , LogoutAction , logout , Exited
4 , 10/05/2012 10:59:39:891 , LoginAction , login , Entered
4 , 10/05/2012 10:59:39:937 , Registration , updateLoginInformation , Entered
4 , 10/05/2012 10:59:40:156 , Registration , updateLoginInformation , Exited
4 , 10/05/2012 10:59:40:218 , Login , login , Entered
5 , 10/05/2012 10:59:40:234 , Login , login , User id is AVSYAM0001
4 , 10/05/2012 10:59:40:234 , AdminDAO , getParameter , Entered
5 , 10/05/2012 10:59:40:249 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 10/05/2012 10:59:40:468 , AdminDAO , getParameter , Exited
5 , 10/05/2012 10:59:40:483 , Login , login , Before getting user info
4 , 10/05/2012 10:59:40:483 , AdminDAO , getUserInfo , Entered
5 , 10/05/2012 10:59:40:499 , AdminDAO , getUserInfo , Function executed without error
5 , 10/05/2012 10:59:40:515 , AdminDAO , getUserInfo , Active user
5 , 10/05/2012 10:59:40:515 , AdminDAO , getUserInfo , not first log in
4 , 10/05/2012 10:59:40:530 , AdminDAO , getUserInfo , Exited
5 , 10/05/2012 10:59:40:530 , Login , login , After getting user info
4 , 10/05/2012 10:59:40:530 , AdminDAO , checkValidUserLogin() , Entered!
4 , 10/05/2012 10:59:40:546 , AdminDAO , checkValidUserLogin() , Exited!
5 , 10/05/2012 10:59:40:546 , Login , login , Verify password AVSYAM0001
3 , 10/05/2012 10:59:40:749 , Login , login , Invalid password 
4 , 10/05/2012 10:59:40:749 , CommonDAO , updateUnsuccessfullAttempts , Entered
5 , 10/05/2012 10:59:40:780 , CommonDAO , updateUnsuccessfullAttempts , errorCode,error are 0 null
4 , 10/05/2012 10:59:40:795 , CommonDAO , updateUnsuccessfullAttempts , Exited
4 , 10/05/2012 10:59:46:880 , LoginAction , login , Entered
4 , 10/05/2012 10:59:46:880 , Registration , updateLoginInformation , Entered
4 , 10/05/2012 10:59:46:943 , Registration , updateLoginInformation , Exited
4 , 10/05/2012 10:59:46:973 , Login , login , Entered
5 , 10/05/2012 10:59:46:973 , Login , login , User id is AVSYAM0001
4 , 10/05/2012 10:59:46:973 , AdminDAO , getParameter , Entered
5 , 10/05/2012 10:59:46:993 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 10/05/2012 10:59:47:035 , AdminDAO , getParameter , Exited
5 , 10/05/2012 10:59:47:035 , Login , login , Before getting user info
4 , 10/05/2012 10:59:47:035 , AdminDAO , getUserInfo , Entered
5 , 10/05/2012 10:59:47:050 , AdminDAO , getUserInfo , Function executed without error
5 , 10/05/2012 10:59:47:050 , AdminDAO , getUserInfo , Active user
5 , 10/05/2012 10:59:47:050 , AdminDAO , getUserInfo , not first log in
4 , 10/05/2012 10:59:47:066 , AdminDAO , getUserInfo , Exited
5 , 10/05/2012 10:59:47:066 , Login , login , After getting user info
4 , 10/05/2012 10:59:47:081 , AdminDAO , checkValidUserLogin() , Entered!
4 , 10/05/2012 10:59:47:097 , AdminDAO , checkValidUserLogin() , Exited!
5 , 10/05/2012 10:59:47:097 , Login , login , Verify password AVSYAM0001
5 , 10/05/2012 10:59:47:128 , Login , login , firstLogin,passwordReset false false
5 , 10/05/2012 10:59:47:128 , Login , login , last pwd change date, pwd expiry days2012-05-10 15
5 , 10/05/2012 10:59:47:128 , Login , login , addedDate Fri May 25 00:00:00 GMT 2012
