4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:34:45:856 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:34:45:856 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:34:45:856 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200303124TC as on Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:856 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:34:45:856 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:34:45:856 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:856 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:34:45:856 , RpDAO , getAmountOutstanding , CGPAN = CG200303124TC
4 , 06/11/2008 15:34:45:856 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:34:45:887 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:34:45:887 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:34:45:887 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:34:45:887 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:34:45:887 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:887 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:34:45:887 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:34:45:887 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:34:45:887 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:34:45:887 , RpDAO , getGuarStartDate , application.getCgpan() :CG200303124TC
4 , 06/11/2008 15:34:45:887 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:34:45 IST 2007
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303124TC
4 , 06/11/2008 15:34:45:887 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200200618TC
4 , 06/11/2008 15:34:45:887 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:34:45:903 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:34:45:903 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:34:45:903 , RpDAO , calculateServiceFee , application.getScheme() RSF
