4 , 09/08/2012 06:44:04:145 , ApplicationProcessingAction , getTCMliInfo , Exited
4 , 09/08/2012 06:44:06:264 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:06:268 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:06:270 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:06:271 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:06:273 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:06:275 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:06:277 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:06:279 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:06:605 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:06:607 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:06:610 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:06:613 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:06:616 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:06:618 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:06:620 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:06:623 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:07:050 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:07:053 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:07:056 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:07:059 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:07:062 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:07:065 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:07:072 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:07:077 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:08:159 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:08:161 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:08:163 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:08:164 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:08:166 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:08:168 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:08:169 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:08:171 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:09:426 , ApplicationProcessingAction , getTCMliInfo , Entered
4 , 09/08/2012 06:44:09:451 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:09:453 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:09:455 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:09:456 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:09:457 , ApplicationProcessingAction , getTCMliInfo , Exited
4 , 09/08/2012 06:44:11:199 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:11:200 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:11:202 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:11:204 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:11:205 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:11:207 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:11:208 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:11:210 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:12:066 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:12:068 , LoginAction , setMainMenu , Entered
